ID,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Description,State
A-1,201.0,3,2016-02-08 05:46:00,2016-02-08 11:00:00,39.865147,-84.058723,Right lane blocked due to accident on I-70 Eastbound at Exit 41 OH-235 State Route 4.,OH
A-2,201.0,2,2016-02-08 06:07:59,2016-02-08 06:37:59,39.928059000000005,-82.831184,Accident on Brice Rd at Tussing Rd. Expect delays.,OH
A-3,201.0,2,2016-02-08 06:49:27,2016-02-08 07:19:27,39.063148,-84.032608,Accident on OH-32 State Route 32 Westbound at Dela Palma Rd. Expect delays.,OH
A-4,201.0,3,2016-02-08 07:23:34,2016-02-08 07:53:34,39.747753,-84.20558199999999,Accident on I-75 Southbound at Exits 52 52B US-35. Expect delays.,OH
A-5,201.0,2,2016-02-08 07:39:07,2016-02-08 08:09:07,39.627781,-84.188354,Accident on McEwen Rd at OH-725 Miamisburg Centerville Rd. Expect delays.,OH
A-6,201.0,3,2016-02-08 07:44:26,2016-02-08 08:14:26,40.100590000000004,-82.92519399999999,Accident on I-270 Outerbelt Northbound near Exit 29 OH-3 State St. Expect delays.,OH
A-7,201.0,2,2016-02-08 07:59:35,2016-02-08 08:29:35,39.758274,-84.23050699999999,Accident on Oakridge Dr at Woodward Ave. Expect delays.,OH
A-8,201.0,3,2016-02-08 07:59:58,2016-02-08 08:29:58,39.770382,-84.194901,Accident on I-75 Southbound at Exit 54B Grand Ave. Expect delays.,OH
A-9,201.0,2,2016-02-08 08:00:40,2016-02-08 08:30:40,39.778061,-84.172005,Accident on Notre Dame Ave at Warner Ave. Expect delays.,OH
A-10,201.0,3,2016-02-08 08:10:04,2016-02-08 08:40:04,40.100590000000004,-82.92519399999999,Right hand shoulder blocked due to accident on I-270 Outerbelt Westbound at Exit 29 OH-3 State St.,OH
A-11,201.0,3,2016-02-08 08:14:42,2016-02-08 08:44:42,39.952812,-83.119293,Accident on I-270 Outerbelt Northbound at Exits 7 7A 7B US-40 Broad St. Expect delays.,OH
A-12,241.0,3,2016-02-08 08:21:27,2016-02-08 08:51:27,39.932709,-82.83091,One lane blocked due to accident on I-70 Westbound at Exits 110 110A 110B Brice Rd. Expect delays.,OH
A-13,201.0,2,2016-02-08 08:36:34,2016-02-08 09:06:34,39.737633,-84.14993299999999,Accident on Revere Ave at Watervliet Ave. Expect delays.,OH
A-14,201.0,2,2016-02-08 08:37:07,2016-02-08 09:07:07,39.79076,-84.241547,Accident on Salem Ave at Hillcrest Ave / Kensington Dr. Expect delays.,OH
A-15,201.0,2,2016-02-08 08:39:43,2016-02-08 09:09:43,39.972038,-82.913521,Accident on OH-16 Broad St at James Rd. Expect delays.,OH
A-16,201.0,2,2016-02-08 08:43:20,2016-02-08 09:13:20,39.745888,-84.17041,Accident on Wayne Ave at Glencoe Ave. Expect delays.,OH
A-17,201.0,2,2016-02-08 08:53:17,2016-02-08 09:23:17,39.748329,-84.224007,Accident on James H McGee Blvd at US-35. Expect delays.,OH
A-18,201.0,2,2016-02-08 09:24:37,2016-02-08 09:54:37,39.752174,-84.239952,Accident on Delphos Ave at Brooklyn Ave. Expect delays.,OH
A-19,201.0,2,2016-02-08 09:25:17,2016-02-08 09:55:17,39.740669,-84.184135,Accident on Stewart St near Rubicon St. Expect delays.,OH
A-20,201.0,2,2016-02-08 09:35:35,2016-02-08 10:05:35,39.790703,-84.244461,Accident on Hillcrest Ave at Piccadilly Ave. Expect delays.,OH
A-21,201.0,2,2016-02-08 10:11:15,2016-02-08 10:41:15,40.052509,-82.88233199999999,Accident on Brookhill Dr at Glenhurst Ct.,OH
A-22,201.0,2,2016-02-08 10:24:27,2016-02-08 10:54:27,39.773346000000004,-84.224686,Accident on Princeton Dr at Catalpa Dr. Expect delays.,OH
A-23,201.0,2,2016-02-08 11:53:19,2016-02-08 12:23:19,39.628288,-84.226151,Accident on OH-741 Springboro Pike at Lyons Rd. Expect delays.,OH
A-24,201.0,3,2016-02-08 12:00:00,2016-02-08 12:45:00,40.023487,-82.994888,Accident on I-71 Northbound at Exit 113 Silver Dr. On exit ramp.,OH
A-25,201.0,2,2016-02-08 12:16:44,2016-02-08 13:01:44,39.761379,-84.25921600000001,Accident on Hoover Ave at Elmhurst Rd.,OH
A-26,201.0,2,2016-02-08 12:41:08,2016-02-08 13:11:08,40.158024,-82.641762,Accident on County Hwy-16 Sportsman Club Rd between Liberty Ridge Ct and Nichols Ln.,OH
A-27,201.0,2,2016-02-08 12:52:05,2016-02-08 13:37:05,39.733219,-84.159653,Accident on Irving Ave at Wilmington Ave.,OH
A-28,201.0,2,2016-02-08 14:24:48,2016-02-08 15:09:48,39.775303,-84.200523,Accident on Helena St at OH-48 Main St.,OH
A-29,201.0,2,2016-02-08 14:56:57,2016-02-08 15:41:57,39.789322,-84.23910500000001,Accident on Salem Ave at Litchfield Ave.,OH
A-30,201.0,2,2016-02-08 15:26:14,2016-02-08 16:11:14,39.758720000000004,-84.183762,Accident on 4th St at Wayne Ave.,OH
A-31,201.0,2,2016-02-08 16:16:08,2016-02-08 16:46:08,40.081459,-83.122398,Accident on Frantz Rd Southbound at Bradenton Ave.,OH
A-32,201.0,2,2016-02-08 17:39:24,2016-02-08 18:24:24,39.83321,-84.112946,Accident on Powell Rd at Bellefontaine Rd. Approach with care.,OH
A-33,201.0,3,2016-02-08 18:24:00,2016-02-08 21:00:00,40.042725,-82.99730699999999,Left lane blocked due to accident on I-71 Southbound at Exit 115 Cooke Rd.,OH
A-34,201.0,3,2016-02-08 19:28:00,2016-02-08 21:00:00,39.974415,-82.848854,Right lane blocked due to accident on I-270 Outerbelt Northbound at Exit 39 OH-16 Broad St.,OH
A-35,201.0,2,2016-02-08 20:22:38,2016-02-08 21:07:38,39.994766,-83.02449,Accident on OH-315 Olentangy Fwy Eastbound at Cannon Dr.,OH
A-36,201.0,2,2016-02-08 20:43:00,2016-02-08 23:00:00,40.006477000000004,-83.030991,Right lane blocked due to accident on OH-315 Olentangy Fwy Northbound between Cannon Dr and Lane Ave.,OH
A-37,201.0,2,2016-02-09 04:28:48,2016-02-09 04:58:48,39.742062,-84.186996,Accident on OH-48 Main St at Fairground Ave. Expect delays.,OH
A-38,201.0,2,2016-02-09 05:04:34,2016-02-09 05:34:34,39.843521,-82.78157,Accident on US-33 Columbus Lancaster Rd Eastbound at County Hwy-18 Diley Rd. Expect delays.,OH
A-39,201.0,2,2016-02-09 05:17:08,2016-02-09 05:47:08,39.782578,-84.178688,Accident on Leo St at Kiser St. Expect delays.,OH
A-40,201.0,3,2016-02-09 05:27:20,2016-02-09 05:57:20,40.007626,-82.912155,Accident on I-670 Northeast Fwy Eastbound near I-270 Outerbelt Exits 35A 35B. Expect delays.,OH
A-41,201.0,2,2016-02-09 05:40:57,2016-02-09 06:10:57,39.447502,-84.19120799999999,Accident on Monroe Rd near Shaker Run Rd. Expect delays.,OH
A-42,201.0,2,2016-02-09 05:47:16,2016-02-09 06:17:16,39.787731,-84.173439,Accident on Stanley Ave at Kuntz Rd.,OH
A-43,201.0,2,2016-02-09 05:56:10,2016-02-09 06:26:10,39.426277,-83.624611,Accident on OH-72 State Route 72 Northbound at Point Isabel Rd.,OH
A-44,201.0,3,2016-02-09 06:06:45,2016-02-09 06:36:45,39.978305999999996,-82.852554,Accident on I-270 Outerbelt near Exit 39 OH-16 Broad St.,OH
A-45,201.0,3,2016-02-09 06:13:33,2016-02-09 06:43:33,39.84182,-84.18960600000001,Accident on I-75 Northbound at Exit 59 Wyse Rd. Expect delays.,OH
A-46,201.0,3,2016-02-09 06:12:49,2016-02-09 06:42:49,39.953625,-82.958954,Accident on I-70 Eastbound at Exit 102 Kelton Ave. Expect delays.,OH
A-47,201.0,2,2016-02-09 06:21:50,2016-02-09 06:51:50,40.053082,-83.049644,Accident on Kenny Rd at Henderson Rd. Expect delays.,OH
A-48,201.0,3,2016-02-09 06:20:46,2016-02-09 06:50:46,39.936873999999996,-82.878723,Right hand shoulder blocked due to accident on I-70 Westbound at Exits 107 107A 107B OH-317 Hamilton Rd.,OH
A-49,201.0,2,2016-02-09 06:34:41,2016-02-09 07:04:41,39.780643,-84.16349,Accident on Stanley Ave at OH-201 Brandt St. Expect delays.,OH
A-50,201.0,3,2016-02-09 06:41:09,2016-02-09 07:11:09,39.773193,-84.187454,Accident on I-75 Northbound at Exits 54A 54B OH-4. Expect delays.,OH
