Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Civil_Twilight,Year,Month
MapQuest,2,2019-12-31 23:29:03,2020-01-01 02:31:31,39.754967,-75.27628299999999,Swedesboro,Gloucester,NJ,43.0,36.0,53.0,29.68,10.0,14.0,0.0,Mostly Cloudy,Night,2019,12.0
MapQuest,2,2019-12-24 18:44:09,2019-12-25 06:53:00,39.983459,-75.01709,Pennsauken,Camden,NJ,39.0,35.0,55.0,30.04,10.0,6.0,0.0,Fair,Night,2019,12.0
MapQuest,4,2019-12-24 21:02:52,2019-12-25 01:32:03,40.79789,-74.264977,West Orange,Essex,NJ,34.0,34.0,52.0,30.02,10.0,3.0,0.0,Fair,Night,2019,12.0
MapQuest,2,2019-12-25 01:25:10,2019-12-25 02:41:17,39.964149,-74.20723000000001,Toms River,Ocean,NJ,21.0,21.0,100.0,30.09,10.0,3.0,0.0,Fair,Night,2019,12.0
MapQuest,3,2019-12-25 05:12:26,2019-12-25 06:12:05,40.729939,-74.039688,Jersey City,Hudson,NJ,34.0,30.0,50.0,30.05,10.0,5.0,0.0,Fair,Night,2019,12.0
MapQuest,2,2019-12-25 08:40:35,2019-12-25 12:24:46,39.86108,-75.074409,Runnemede,Camden,NJ,34.0,34.0,61.0,30.2,10.0,0.0,0.0,Mostly Cloudy,Day,2019,12.0
MapQuest,2,2019-12-25 10:25:20,2019-12-25 11:36:00,40.527245,-74.298546,Perth Amboy,Middlesex,NJ,38.0,38.0,48.0,30.23,10.0,0.0,0.0,Fair,Day,2019,12.0
MapQuest,2,2019-12-25 12:11:54,2019-12-25 12:55:47,40.534817,-74.29715,Woodbridge,Middlesex,NJ,43.0,43.0,53.0,30.17,10.0,0.0,0.0,Fair,Day,2019,12.0
MapQuest,2,2019-12-25 13:26:43,2019-12-25 14:08:00,39.769978,-75.048737,Blackwood,Gloucester,NJ,47.0,44.0,50.0,30.12,10.0,6.0,0.0,Mostly Cloudy,Day,2019,12.0
MapQuest,2,2019-12-25 13:28:36,2019-12-25 21:22:39,40.534748,-74.297173,Woodbridge,Middlesex,NJ,45.0,45.0,52.0,30.15,10.0,0.0,0.0,Fair,Day,2019,12.0
MapQuest,2,2019-12-25 13:29:31,2019-12-25 14:14:07,40.93037,-74.59034,Wharton,Morris,NJ,45.0,41.0,57.0,29.95,10.0,6.0,0.0,Partly Cloudy,Day,2019,12.0
MapQuest,2,2019-12-25 13:38:23,2019-12-25 15:22:45,40.704853,-74.245758,Hillside,Union,NJ,45.0,45.0,53.0,30.13,10.0,3.0,0.0,Mostly Cloudy,Day,2019,12.0
MapQuest,2,2019-12-25 15:10:28,2019-12-25 16:10:11,40.750309,-75.007858,Washington,Warren,NJ,45.0,45.0,46.0,30.02,10.0,3.0,0.0,Fair,Day,2019,12.0
MapQuest,2,2019-12-25 18:32:39,2019-12-25 19:20:05,40.731228,-74.051277,Jersey City,Hudson,NJ,42.0,42.0,65.0,30.02,10.0,0.0,0.0,Fair,Night,2019,12.0
MapQuest,2,2019-12-25 20:12:59,2019-12-25 20:42:38,40.537898999999996,-74.295517,Woodbridge,Middlesex,NJ,36.0,36.0,84.0,30.15,10.0,0.0,0.0,Fair,Night,2019,12.0
MapQuest,2,2019-12-25 20:33:28,2019-12-25 21:03:13,40.170513,-74.092598,Wall Township,Monmouth,NJ,30.0,30.0,100.0,30.0,10.0,0.0,0.0,Fair,Night,2019,12.0
MapQuest,3,2019-12-25 21:05:49,2019-12-25 21:55:20,40.857105,-73.968361,Fort Lee,Bergen,NJ,34.0,34.0,89.0,30.14,10.0,0.0,0.0,Fair,Night,2019,12.0
MapQuest,2,2019-12-25 21:17:12,2019-12-25 21:46:26,40.423569,-74.52583299999999,Monmouth Junction,Middlesex,NJ,33.0,33.0,72.0,29.93,10.0,0.0,0.0,Fair,Night,2019,12.0
MapQuest,3,2019-12-26 03:07:20,2019-12-26 05:20:36,40.908516,-74.577271,Wharton,Morris,NJ,25.0,25.0,100.0,30.01,10.0,0.0,0.0,Fair,Night,2019,12.0
MapQuest,2,2019-12-26 07:30:33,2019-12-26 08:32:15,40.904041,-74.135277,Paterson,Passaic,NJ,33.0,33.0,89.0,30.25,7.0,3.0,0.0,Mostly Cloudy,Day,2019,12.0
MapQuest,2,2019-12-26 12:44:23,2019-12-26 14:42:49,40.026104,-74.820442,Mount Holly,Burlington,NJ,47.0,44.0,74.0,30.22,10.0,6.0,0.0,Fair,Day,2019,12.0
MapQuest,2,2019-12-26 13:23:20,2019-12-26 14:38:24,40.782978,-74.04759200000001,Secaucus,Hudson,NJ,43.0,40.0,76.0,30.3,9.0,5.0,0.0,Cloudy,Day,2019,12.0
MapQuest,2,2019-12-26 14:00:37,2019-12-26 15:16:37,40.028641,-74.819611,Mount Holly,Burlington,NJ,48.0,45.0,71.0,30.22,10.0,6.0,0.0,Fair,Day,2019,12.0
MapQuest,3,2019-12-26 15:22:05,2019-12-26 16:07:02,39.81057,-75.278191,Gibbstown,Gloucester,NJ,48.0,44.0,63.0,30.26,8.0,9.0,0.0,Mostly Cloudy,Day,2019,12.0
MapQuest,2,2019-12-26 15:35:33,2019-12-26 16:20:03,40.732459999999996,-74.221352,Irvington,Essex,NJ,42.0,37.0,79.0,30.33,9.0,9.0,0.0,Cloudy,Day,2019,12.0
MapQuest,3,2019-12-26 16:17:18,2019-12-26 18:28:57,40.712990000000005,-74.141624,Newark,Essex,NJ,42.0,37.0,79.0,30.33,9.0,9.0,0.0,Cloudy,Day,2019,12.0
MapQuest,2,2019-12-26 16:36:33,2019-12-26 17:25:00,40.851524,-73.952324,Fort Lee,Bergen,NJ,43.0,39.0,80.0,30.35,10.0,6.0,0.0,Cloudy,Day,2019,12.0
MapQuest,2,2019-12-26 17:43:02,2019-12-26 18:28:02,40.916453999999995,-74.055725,Paramus,Bergen,NJ,43.0,39.0,82.0,30.36,10.0,6.0,0.0,Cloudy,Night,2019,12.0
MapQuest,2,2019-12-26 21:15:57,2019-12-26 22:00:54,40.463158,-74.40505999999999,East Brunswick,Middlesex,NJ,46.0,46.0,82.0,30.36,10.0,0.0,0.0,Cloudy,Night,2019,12.0
MapQuest,2,2019-12-26 22:52:19,2019-12-26 23:21:57,40.504311,-74.399117,Edison,Middlesex,NJ,46.0,46.0,83.0,30.36,10.0,0.0,0.0,Cloudy,Night,2019,12.0
MapQuest,3,2019-12-27 01:34:24,2019-12-27 03:19:33,40.857105,-73.968361,Fort Lee,Bergen,NJ,43.0,43.0,89.0,30.32,10.0,0.0,0.0,Cloudy,Night,2019,12.0
MapQuest,3,2019-12-27 07:48:08,2019-12-27 08:33:35,40.907375,-74.580185,Wharton,Morris,NJ,39.0,39.0,100.0,30.1,7.0,0.0,0.0,Cloudy,Day,2019,12.0
MapQuest,2,2019-12-27 08:40:30,2019-12-27 09:56:03,40.014832,-74.881653,Willingboro,Burlington,NJ,48.0,46.0,80.0,30.24,10.0,5.0,0.0,Cloudy,Day,2019,12.0
MapQuest,2,2019-12-27 09:49:32,2019-12-27 11:05:37,40.074371,-74.748489,Columbus,Burlington,NJ,53.0,53.0,71.0,30.13,10.0,10.0,0.0,Mostly Cloudy,Day,2019,12.0
MapQuest,2,2019-12-27 09:56:58,2019-12-27 10:26:48,40.686359,-75.192848,Phillipsburg,Warren,NJ,46.0,46.0,76.0,29.86,7.0,0.0,0.0,Cloudy,Day,2019,12.0
MapQuest,2,2019-12-27 10:23:35,2019-12-27 11:08:29,40.824829,-75.06796999999999,Belvidere,Warren,NJ,46.0,44.0,76.0,29.75,10.0,6.0,0.0,Cloudy,Day,2019,12.0
MapQuest,2,2019-12-27 10:24:59,2019-12-27 12:26:51,40.832729,-74.953148,Oxford,Warren,NJ,46.0,44.0,76.0,29.75,10.0,6.0,0.0,Cloudy,Day,2019,12.0
MapQuest,3,2019-12-27 10:57:53,2019-12-27 12:28:45,40.263737,-74.510719,Hightstown,Mercer,NJ,49.0,49.0,77.0,30.03,10.0,3.0,0.0,Cloudy,Day,2019,12.0
MapQuest,2,2019-12-27 11:52:18,2019-12-27 12:22:03,40.716751,-74.34528399999999,Summit,Union,NJ,50.0,50.0,76.0,30.02,10.0,10.0,0.0,Cloudy,Day,2019,12.0
MapQuest,2,2019-12-27 12:33:40,2019-12-27 13:33:21,39.821739,-74.928612,West Berlin,Camden,NJ,54.0,54.0,72.0,30.16,10.0,5.0,0.0,Cloudy,Day,2019,12.0
MapQuest,2,2019-12-27 12:32:52,2019-12-27 13:32:27,40.921248999999996,-74.073891,Paramus,Bergen,NJ,52.0,52.0,77.0,30.14,10.0,13.0,0.0,Cloudy,Day,2019,12.0
MapQuest,2,2019-12-27 14:45:06,2019-12-27 15:29:46,40.462134999999996,-74.45500200000001,North Brunswick,Middlesex,NJ,53.0,53.0,71.0,30.01,10.0,3.0,0.0,Cloudy,Day,2019,12.0
MapQuest,3,2019-12-27 16:20:55,2019-12-27 17:20:33,39.903209999999994,-75.11286899999999,Camden,Camden,NJ,53.0,53.0,71.0,30.13,10.0,10.0,0.0,Cloudy,Day,2019,12.0
MapQuest,3,2019-12-27 16:47:05,2019-12-27 17:33:02,40.641407,-74.208282,Elizabeth,Union,NJ,53.0,53.0,71.0,30.11,10.0,0.0,0.0,Mostly Cloudy,Day,2019,12.0
MapQuest,3,2019-12-27 17:00:23,2019-12-27 18:00:03,40.754082000000004,-74.117409,Kearny,Hudson,NJ,53.0,53.0,71.0,30.12,10.0,10.0,0.0,Cloudy,Day,2019,12.0
MapQuest,3,2019-12-27 17:24:12,2019-12-27 17:53:52,40.510712,-74.385651,Edison,Middlesex,NJ,52.0,52.0,72.0,30.11,10.0,0.0,0.0,Partly Cloudy,Night,2019,12.0
MapQuest,2,2019-12-27 17:28:16,2019-12-27 18:42:57,40.519375,-74.300957,Keasbey,Middlesex,NJ,52.0,52.0,73.0,30.11,10.0,0.0,0.0,Fair,Night,2019,12.0
MapQuest,2,2019-12-27 17:57:02,2019-12-27 18:26:41,40.864940999999995,-74.06366,Hasbrouck Heights,Bergen,NJ,50.0,50.0,77.0,30.11,10.0,5.0,0.0,Fair,Night,2019,12.0
MapQuest,2,2019-12-27 19:26:21,2019-12-27 20:26:33,40.740299,-74.368515,Short Hills,Essex,NJ,48.0,46.0,87.0,29.94,10.0,6.0,0.0,Fair,Night,2019,12.0
MapQuest,3,2019-12-27 20:25:15,2019-12-27 22:24:23,40.660236,-74.43561600000001,Watchung,Somerset,NJ,50.0,50.0,79.0,30.13,10.0,0.0,0.0,Fair,Night,2019,12.0
MapQuest,3,2019-12-27 21:36:55,2019-12-27 22:20:39,40.872616,-73.98107900000001,Leonia,Bergen,NJ,45.0,42.0,86.0,30.12,8.0,6.0,0.0,Fair,Night,2019,12.0
MapQuest,3,2019-12-27 23:40:32,2019-12-28 00:23:44,40.345943,-74.475479,Monroe Township,Middlesex,NJ,46.0,42.0,89.0,29.9,5.0,7.0,0.0,Fair,Night,2019,12.0
MapQuest,3,2019-12-28 00:12:19,2019-12-28 00:39:44,40.715697999999996,-74.15643299999999,Newark,Essex,NJ,45.0,45.0,90.0,30.1,9.0,0.0,0.0,Mostly Cloudy,Night,2019,12.0
MapQuest,2,2019-12-28 03:41:49,2019-12-28 04:27:36,40.768124,-74.022141,Weehawken,Hudson,NJ,46.0,46.0,86.0,29.99,5.0,3.0,0.0,Fair,Night,2019,12.0
MapQuest,2,2019-12-28 10:41:20,2019-12-28 11:57:41,39.452019,-74.53582800000001,Absecon,Atlantic,NJ,55.0,55.0,64.0,30.15,10.0,8.0,0.0,Fair,Day,2019,12.0
MapQuest,2,2019-12-28 12:19:50,2019-12-28 13:50:48,39.754967,-75.27628299999999,Swedesboro,Gloucester,NJ,53.0,53.0,57.0,30.19,10.0,7.0,0.0,Cloudy,Day,2019,12.0
MapQuest,2,2019-12-28 12:44:16,2019-12-28 14:14:19,40.679108,-74.278366,Kenilworth,Union,NJ,50.0,46.0,53.0,30.17,10.0,10.0,0.0,Fair,Day,2019,12.0
MapQuest,2,2019-12-28 13:07:37,2019-12-28 14:07:19,40.919781,-74.068001,Paramus,Bergen,NJ,50.0,50.0,54.0,30.17,10.0,9.0,0.0,Fair,Day,2019,12.0
